Player,#,Class,Pos,Height,Weight,Hometown,RSCI Top 100,Summary,Season
Chinanu Onuaku,32,FR,F,6-10,230,Lanham MD,64 (2014),3.0 Pts 4.6 Reb 0.5 Ast,2014-15
Mangok Mathiang,12,SO,F,6-10,220,Melbourne Australia,,2.6 Pts 4.7 Reb 0.5 Ast,2014-15
Anton Gill,1,SO,G,6-8,195,Raleigh NC,50 (2013),2.5 Pts 0.8 Reb 0.5 Ast,2014-15
Anas Mahmoud,14,FR,F,7-0,200,Cairo Egypt,,1.2 Pts 1.4 Reb 0.4 Ast,2014-15
Shaqquan Aaron,3,FR,G,6-7,195,Los Angeles CA,25 (2014),1.3 Pts 0.7 Reb 0.2 Ast,2014-15
Jaylen Johnson,10,FR,F,6-9,215,Ypsilanti MI,67 (2014),1.3 Pts 1.3 Reb 0.1 Ast,2014-15
David Levitch,23,SO,G,6-3,180,Goshen KY,,1.1 Pts 0.3 Reb 0.3 Ast,2014-15
Trent Gilbert,15,FR,G,5-10,180,Georgetown KY,,1.5 Pts 0.5 Reb 0.5 Ast,2014-15
Dillon Avare,4,FR,G,6-0,150,Lexington KY,,0.5 Pts 0.5 Reb 0.0 Ast,2014-15
Matz Stockman,5,FR,C,7-0,245,Oslo Norway,,1.0 Pts 2.8 Reb 0.3 Ast,2014-15
Akoy Agau,22,SO,F,6-8,240,Juba South Sudan,88 (2013),0.0 Pts 0.3 Reb 0.0 Ast,2014-15
